File name,Frequency,Block Frequency,Cumulative Sums,Runs,Longest Run,Rank,FFT,NonOverlapping Template,Overlapping Template,Universal,Approximate Entropy,Random Excursions,Random Excursions Variant,Serial,Linear Complexity
../test/urandom1-1MB.bin,"[['0.534146'], ['10/10']]","[['0.534146'], ['10/10']]","[['0.739918', '0.066882'], ['9/10', '10/10']]","[['0.534146'], ['10/10']]","[['0.911413'], ['9/10']]","[['0.739918'], ['9/10']]","[['0.534146'], ['10/10']]","[['0.911413', '0.122325', '0.534146', '0.739918', '0.739918', '0.739918', '0.991468', '0.350485', '0.911413', '0.911413', '0.534146', '0.739918', '0.350485', '0.350485', '0.911413', '0.739918', '0.739918', '0.911413', '0.739918', '0.911413', '0.350485', '0.350485', '0.350485', '0.534146', '0.739918', '0.017912', '0.739918', '0.122325', '0.739918', '0.739918', '0.739918', '0.350485', '0.739918', '0.911413', '0.911413', '0.350485', '0.534146', '0.066882', '0.534146', '0.911413', '0.739918', '0.122325', '0.911413', '0.122325', '0.122325', '0.739918', '0.739918', '0.213309', '0.122325', '0.534146', '0.350485', '0.739918', '0.122325', '0.534146', '0.911413', '0.350485', '0.911413', '0.213309', '0.213309', '0.213309', '0.534146', '0.911413', '0.350485', '0.213309', '0.911413', '0.066882', '0.035174', '0.534146', '0.350485', '0.350485', '0.122325', '0.739918', '0.911413', '0.350485', '0.911413', '0.911413', '0.534146', '0.122325', '0.122325', '0.739918', '0.911413', '0.066882', '0.350485', '0.739918', '0.035174', '0.066882', '0.122325', '0.350485', '0.911413', '0.350485', '0.911413', '0.122325', '0.534146', '0.911413', '0.122325', '0.213309', '0.911413', '0.213309', '0.534146', '0.350485', '0.350485', '0.035174', '0.534146', '0.739918', '0.534146', '0.350485', '0.739918', '0.534146', '0.534146', '0.739918', '0.350485', '0.911413', '0.534146', '0.350485', '0.534146', '0.739918', '0.534146', '0.534146', '0.350485', '0.534146', '0.122325', '0.534146', '0.035174', '0.739918', '0.350485', '0.911413', '0.213309', '0.911413', '0.350485', '0.350485', '0.739918', '0.911413', '0.350485', '0.066882', '0.035174', '0.213309', '0.739918', '0.534146', '0.035174', '0.122325', '0.739918', '0.911413', '0.534146', '0.911413', '0.122325', '0.739918', '0.739918', '0.350485'], ['10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '8/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10']]","[['0.911413'], ['10/10']]","[['0.000000'], ['*']]","[['0.534146'], ['10/10']]","[['----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------']]","[['----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------']]","[['0.213309', '0.739918'], ['10/10', '10/10']]","[['0.213309'], ['10/10']]"
../test/albert-einstein-1939-yaz-nassasu-point-long-island-new-york-renkli-fotograf.webp,"[['0.350485'], ['10/10']]","[['0.122325'], ['9/10']]","[['0.739918', '0.534146'], ['10/10', '10/10']]","[['0.350485'], ['10/10']]","[['0.350485'], ['10/10']]","[['0.534146'], ['10/10']]","[['0.534146'], ['10/10']]","[['0.350485', '0.122325', '0.350485', '0.035174', '0.739918', '0.534146', '0.213309', '0.213309', '0.534146', '0.911413', '0.739918', '0.534146', '0.350485', '0.122325', '0.739918', '0.534146', '0.534146', '0.911413', '0.739918', '0.350485', '0.035174', '0.122325', '0.122325', '0.008879', '0.739918', '0.350485', '0.534146', '0.739918', '0.350485', '0.534146', '0.534146', '0.991468', '0.534146', '0.534146', '0.350485', '0.213309', '0.911413', '0.122325', '0.534146', '0.350485', '0.350485', '0.066882', '0.739918', '0.534146', '0.350485', '0.534146', '0.350485', '0.350485', '0.534146', '0.739918', '0.350485', '0.739918', '0.534146', '0.534146', '0.739918', '0.739918', '0.350485', '0.066882', '0.911413', '0.911413', '0.991468', '0.122325', '0.911413', '0.739918', '0.534146', '0.534146', '0.350485', '0.350485', '0.017912', '0.213309', '0.534146', '0.350485', '0.534146', '0.739918', '0.350485', '0.350485', '0.035174', '0.350485', '0.739918', '0.739918', '0.911413', '0.350485', '0.534146', '0.066882', '0.350485', '0.350485', '0.350485', '0.534146', '0.066882', '0.739918', '0.534146', '0.213309', '0.739918', '0.534146', '0.122325', '0.213309', '0.534146', '0.739918', '0.534146', '0.911413', '0.911413', '0.122325', '0.534146', '0.911413', '0.350485', '0.534146', '0.213309', '0.213309', '0.534146', '0.534146', '0.066882', '0.911413', '0.066882', '0.534146', '0.739918', '0.739918', '0.017912', '0.739918', '0.739918', '0.911413', '0.350485', '0.350485', '0.213309', '0.534146', '0.122325', '0.911413', '0.911413', '0.350485', '0.739918', '0.017912', '0.739918', '0.004301', '0.350485', '0.350485', '0.122325', '0.213309', '0.911413', '0.534146', '0.911413', '0.122325', '0.122325', '0.066882', '0.534146', '0.122325', '0.911413', '0.350485', '0.739918', '0.739918'], ['10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '8/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '9/10']]","[['0.739918'], ['10/10']]","[['0.000000'], ['*']]","[['0.534146'], ['10/10']]","[['----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------']]","[['----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------']]","[['0.739918', '0.739918'], ['10/10', '10/10']]","[['0.911413'], ['9/10']]"
../test/japon-okcular-1860-renkli-fotograf.webp,"[['0.122325'], ['8/10']]","[['0.534146'], ['9/10']]","[['0.213309', '0.035174'], ['8/10', '8/10']]","[['0.213309'], ['9/10']]","[['0.534146'], ['9/10']]","[['0.350485'], ['10/10']]","[['0.911413'], ['9/10']]","[['0.534146', '0.739918', '0.213309', '0.213309', '0.534146', '0.534146', '0.739918', '0.350485', '0.350485', '0.739918', '0.350485', '0.534146', '0.739918', '0.739918', '0.122325', '0.911413', '0.350485', '0.534146', '0.066882', '0.534146', '0.911413', '0.350485', '0.350485', '0.739918', '0.739918', '0.017912', '0.534146', '0.350485', '0.122325', '0.122325', '0.739918', '0.122325', '0.350485', '0.739918', '0.213309', '0.534146', '0.350485', '0.350485', '0.350485', '0.739918', '0.008879', '0.911413', '0.122325', '0.213309', '0.911413', '0.350485', '0.739918', '0.213309', '0.213309', '0.122325', '0.534146', '0.213309', '0.739918', '0.066882', '0.350485', '0.911413', '0.534146', '0.739918', '0.534146', '0.534146', '0.739918', '0.350485', '0.350485', '0.122325', '0.534146', '0.911413', '0.213309', '0.739918', '0.213309', '0.350485', '0.739918', '0.911413', '0.122325', '0.739918', '0.534146', '0.350485', '0.122325', '0.213309', '0.534146', '0.739918', '0.739918', '0.739918', '0.066882', '0.122325', '0.534146', '0.350485', '0.350485', '0.911413', '0.911413', '0.350485', '0.534146', '0.534146', '0.350485', '0.739918', '0.991468', '0.350485', '0.534146', '0.213309', '0.534146', '0.739918', '0.739918', '0.350485', '0.008879', '0.739918', '0.350485', '0.534146', '0.911413', '0.739918', '0.911413', '0.122325', '0.911413', '0.534146', '0.350485', '0.122325', '0.739918', '0.350485', '0.350485', '0.739918', '0.739918', '0.534146', '0.350485', '0.739918', '0.739918', '0.350485', '0.002043', '0.122325', '0.534146', '0.122325', '0.739918', '0.350485', '0.213309', '0.534146', '0.911413', '0.534146', '0.066882', '0.739918', '0.739918', '0.739918', '0.350485', '0.122325', '0.534146', '0.350485', '0.066882', '0.350485', '0.350485', '0.350485', '0.534146', '0.739918'], ['10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '8/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '8/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '8/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '8/10']]","[['0.911413'], ['10/10']]","[['0.000000'], ['*']]","[['0.008879'], ['10/10']]","[['----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------']]","[['----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------']]","[['0.122325', '0.122325'], ['9/10', '10/10']]","[['0.739918'], ['9/10']]"
../test/call-of-duty-advanced-warfare-screenshot.webp,"[['0.534146'], ['9/10']]","[['0.035174'], ['9/10']]","[['0.739918', '0.534146'], ['9/10', '10/10']]","[['0.213309'], ['9/10']]","[['0.739918'], ['10/10']]","[['0.350485'], ['10/10']]","[['0.122325'], ['8/10']]","[['0.739918', '0.350485', '0.534146', '0.739918', '0.350485', '0.213309', '0.350485', '0.991468', '0.534146', '0.739918', '0.534146', '0.122325', '0.213309', '0.534146', '0.350485', '0.350485', '0.350485', '0.534146', '0.534146', '0.739918', '0.911413', '0.213309', '0.350485', '0.534146', '0.122325', '0.991468', '0.213309', '0.911413', '0.350485', '0.213309', '0.350485', '0.911413', '0.991468', '0.534146', '0.739918', '0.739918', '0.350485', '0.350485', '0.991468', '0.911413', '0.213309', '0.534146', '0.739918', '0.534146', '0.122325', '0.534146', '0.350485', '0.911413', '0.534146', '0.122325', '0.534146', '0.534146', '0.911413', '0.350485', '0.350485', '0.739918', '0.739918', '0.350485', '0.350485', '0.534146', '0.911413', '0.350485', '0.739918', '0.213309', '0.350485', '0.739918', '0.350485', '0.350485', '0.213309', '0.122325', '0.911413', '0.350485', '0.122325', '0.739918', '0.350485', '0.350485', '0.350485', '0.350485', '0.213309', '0.122325', '0.122325', '0.534146', '0.213309', '0.739918', '0.991468', '0.213309', '0.534146', '0.066882', '0.534146', '0.213309', '0.739918', '0.213309', '0.739918', '0.066882', '0.350485', '0.739918', '0.350485', '0.739918', '0.911413', '0.350485', '0.350485', '0.739918', '0.911413', '0.739918', '0.534146', '0.739918', '0.534146', '0.350485', '0.911413', '0.213309', '0.534146', '0.534146', '0.017912', '0.739918', '0.739918', '0.534146', '0.350485', '0.739918', '0.911413', '0.739918', '0.739918', '0.739918', '0.017912', '0.017912', '0.991468', '0.534146', '0.739918', '0.122325', '0.213309', '0.350485', '0.911413', '0.534146', '0.122325', '0.534146', '0.739918', '0.534146', '0.534146', '0.350485', '0.350485', '0.213309', '0.534146', '0.004301', '0.122325', '0.213309', '0.739918', '0.534146', '0.534146', '0.739918'], ['9/10', '10/10', '8/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '9/10', '10/10', '9/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '8/10', '9/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '7/10', '10/10', '9/10', '10/10', '8/10']]","[['0.534146'], ['10/10']]","[['0.000000'], ['*']]","[['0.008879'], ['10/10']]","[['----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------']]","[['----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------']]","[['0.911413', '0.350485'], ['10/10', '10/10']]","[['0.066882'], ['10/10']]"
../test/xae,"[['0.534146'], ['10/10']]","[['0.213309'], ['10/10']]","[['0.004301', '0.350485'], ['10/10', '10/10']]","[['0.534146'], ['10/10']]","[['0.534146'], ['10/10']]","[['0.350485'], ['10/10']]","[['0.739918'], ['9/10']]","[['0.534146', '0.739918', '0.213309', '0.739918', '0.534146', '0.350485', '0.122325', '0.991468', '0.534146', '0.911413', '0.350485', '0.739918', '0.739918', '0.739918', '0.534146', '0.534146', '0.350485', '0.122325', '0.213309', '0.122325', '0.911413', '0.739918', '0.350485', '0.911413', '0.534146', '0.739918', '0.739918', '0.534146', '0.350485', '0.213309', '0.739918', '0.534146', '0.350485', '0.534146', '0.911413', '0.004301', '0.534146', '0.739918', '0.350485', '0.350485', '0.534146', '0.911413', '0.911413', '0.122325', '0.122325', '0.739918', '0.739918', '0.739918', '0.911413', '0.739918', '0.350485', '0.911413', '0.534146', '0.911413', '0.350485', '0.350485', '0.739918', '0.066882', '0.122325', '0.350485', '0.213309', '0.350485', '0.350485', '0.350485', '0.739918', '0.122325', '0.911413', '0.911413', '0.739918', '0.534146', '0.911413', '0.066882', '0.534146', '0.213309', '0.534146', '0.911413', '0.350485', '0.350485', '0.739918', '0.122325', '0.122325', '0.739918', '0.911413', '0.534146', '0.350485', '0.350485', '0.534146', '0.350485', '0.350485', '0.534146', '0.534146', '0.122325', '0.534146', '0.122325', '0.066882', '0.739918', '0.534146', '0.350485', '0.534146', '0.739918', '0.066882', '0.122325', '0.534146', '0.213309', '0.350485', '0.534146', '0.739918', '0.534146', '0.350485', '0.911413', '0.350485', '0.122325', '0.534146', '0.739918', '0.213309', '0.739918', '0.739918', '0.739918', '0.739918', '0.122325', '0.534146', '0.534146', '0.213309', '0.911413', '0.350485', '0.035174', '0.122325', '0.739918', '0.122325', '0.350485', '0.350485', '0.350485', '0.213309', '0.534146', '0.739918', '0.350485', '0.739918', '0.122325', '0.350485', '0.911413', '0.350485', '0.350485', '0.739918', '0.534146', '0.213309', '0.911413', '0.035174', '0.213309'], ['10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '9/10', '10/10', '9/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '8/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '9/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10', '10/10']]","[['0.911413'], ['10/10']]","[['0.000000'], ['*']]","[['0.739918'], ['10/10']]","[['----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------']]","[['----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----', '----'], ['------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------', '------']]","[['0.739918', '0.122325'], ['10/10', '10/10']]","[['0.534146'], ['9/10']]"
