File name,Size,Entropy,Chi-score,Serial Correlation,P-val Z,P-val Chi,Monte Carlo,Iterations,Monobit,Poker,Run,Long run,Frequency_pvalue,Frequency_proportion,Block Frequency_pvalue,Block Frequency_proportion,Cumulative Sums_pvalue,Cumulative Sums_proportion,Runs_pvalue,Runs_proportion,Longest Run_pvalue,Longest Run_proportion,Rank_pvalue,Rank_proportion,FFT_pvalue,FFT_proportion,NonOverlapping Template_pvalue,NonOverlapping Template_proportion,Overlapping Template_pvalue,Overlapping Template_proportion,Universal_pvalue,Universal_proportion,Approximate Entropy_pvalue,Approximate Entropy_proportion,Random Excursions_pvalue,Random Excursions_proportion,Random Excursions Variant_pvalue,Random Excursions Variant_proportion,Serial_pvalue,Serial_proportion,Linear Complexity_pvalue,Linear Complexity_proportion
./64/video/enc/encrypted_01TP_extract.avi02.enc-camellia-128-cbc2907,65536.0,7.9968972477660385,282.828125,0.0012521882106095925,1.0,0.9999999999984466,3.138619300494415,26.0,1.0,1.0,1.0,1.0,0.213309,1.0,0.122325,0.9,0.11142188758396772,1.0,0.213309,1.0,0.739918,1.0,0.911413,0.9,0.350485,0.9,0.367577404937905,0.991891891891892,0.534146,1.0,0.000000,0.0,0.739918,1.0,----,----,----,----,0.380419272946301,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-aes-192-cbc2305,65536.0,7.997496432868668,227.3828125,-0.0018536050428744227,1.0,0.9999999999984466,3.1503387657938107,26.0,1.0,1.0,1.0,1.0,0.911413,1.0,0.066882,1.0,0.96086449527702,1.0,0.534146,1.0,0.739918,1.0,0.534146,1.0,0.004301,1.0,0.9486230994623123,0.9885135135135136,0.534146,1.0,0.000000,0.0,0.534146,1.0,----,1.0,----,1.0,0.6093359613704614,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-camellia-128-cbc900204,65536.0,7.997335012476028,241.09375,0.002146731563617843,1.0,0.9999999999984466,3.1411829335286576,26.0,1.0,1.0,1.0,1.0,0.739918,1.0,0.739918,1.0,0.3614231491913353,1.0,0.035174,1.0,0.739918,0.9,0.534146,1.0,0.122325,1.0,0.9163436898172143,0.9864864864864865,0.534146,1.0,0.000000,0.0,0.739918,1.0,----,----,----,----,0.2686521510341647,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-camellia-256-cbc4508,65536.0,7.99690983492146,282.7421875,0.0007053268839198185,1.0,0.9999999999984466,3.1444790331441133,26.0,1.0,1.0,1.0,1.0,0.350485,1.0,0.534146,1.0,0.6431422468730241,1.0,0.534146,1.0,0.739918,1.0,0.911413,1.0,0.035174,0.9,0.9531857480829599,0.9891891891891892,0.213309,1.0,0.000000,0.0,0.534146,0.9,----,----,----,----,0.380419272946301,1.0,0.739918,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-aes-128-cbc5214,65536.0,7.997598692993335,218.5859375,0.0032445903703521963,1.0,0.9999999999984466,3.1419154001098697,26.0,1.0,1.0,1.0,1.0,0.066882,0.9,0.350485,1.0,0.025092271296839577,0.95,0.122325,1.0,0.066882,0.8,0.911413,0.9,0.739918,1.0,0.44753016425646386,0.9939189189189189,0.739918,1.0,0.000000,0.0,0.122325,1.0,----,----,----,----,0.6839765003158559,1.0,0.000199,1.0
./64/video/enc/encrypted_01TP_extract.avi02.enc-aes-128-cbc4111,65536.0,7.99694060883163,277.71875,-0.0021866831885506283,1.0,0.9999999999984466,3.1375206006225964,26.0,1.0,1.0,1.0,1.0,0.122325,0.9,0.350485,1.0,0.5008851731875679,1.0,0.911413,1.0,0.534146,1.0,0.066882,1.0,0.066882,1.0,0.5758260297469611,0.9864864864864865,0.534146,1.0,0.000000,0.0,0.350485,1.0,----,----,----,----,0.6839765003158559,1.0,0.213309,0.9
./64/video/enc/encrypted_01TP_extract.avi00.enc-aes-192-cbc8603,65536.0,7.997275083011951,247.6328125,0.0037884784366576814,1.0,0.9999999999984466,3.163156930965025,26.0,1.0,1.0,1.0,1.0,0.350485,1.0,0.017912,1.0,0.380419272946301,1.0,0.122325,1.0,0.534146,1.0,0.911413,1.0,0.350485,1.0,0.3448037048272349,0.9844594594594593,0.739918,1.0,0.000000,0.0,0.911413,1.0,----,1.0,----,1.0,0.3560759521329422,1.0,0.534146,0.9
./64/video/enc/encrypted_01TP_extract.avi02.enc-aes-192-cbc7813,65536.0,7.997385665326881,237.1796875,0.002659790883001601,1.0,0.9999999999984466,3.123603735579564,26.0,1.0,1.0,1.0,1.0,0.066882,1.0,0.739918,1.0,0.6093359613704614,1.0,0.739918,1.0,0.213309,1.0,0.534146,1.0,0.739918,1.0,0.16684178093763594,0.9891891891891892,0.534146,1.0,0.000000,0.0,0.350485,1.0,----,----,----,----,0.762111684149774,1.0,0.739918,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-camellia-192-cbc4804,65536.0,7.997193268593258,254.75,0.00466441657582791,1.0,0.9999999999984466,3.126533601904413,26.0,1.0,1.0,1.0,1.0,0.739918,1.0,0.035174,1.0,0.24359576691718723,0.95,0.739918,1.0,0.534146,1.0,0.739918,0.9,0.350485,1.0,0.7444479711316462,0.9837837837837837,0.122325,0.9,0.000000,0.0,0.066882,1.0,----,----,----,----,0.762111684149774,1.0,0.534146,1.0
./64/video/enc/encrypted_01TP_extract.avi01.enc-aes-256-cbc4204,65536.0,7.997303950898687,244.4765625,-0.003624806261144197,1.0,0.9999999999984466,3.1463101995971434,26.0,1.0,1.0,1.0,1.0,0.213309,1.0,0.122325,1.0,0.8372681281023225,1.0,0.350485,1.0,0.066882,1.0,0.534146,1.0,0.739918,0.9,0.6026955672655009,0.9851351351351352,0.534146,1.0,0.000000,0.0,0.350485,1.0,----,----,----,----,0.11142188758396772,1.0,0.534146,1.0
