		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111   12    7   14   13   16   11   12   15  4.640158 0.795253 SUCCESS  32
001001011   10   13   11    9    8   10   13   14  3.673667 0.885302 SUCCESS  33
001001101   14   16   12    8   13   13   11   13  3.284423 0.915262 SUCCESS  34
001001111   15    9   15   17    9   15    9    7  8.837110 0.356223 SUCCESS  35
001010011   17   13   14   12    6    9    8   15  8.563050 0.380485 SUCCESS  36
001010101    8   11   17   12   19   11   19   16 12.776551 0.119773 SUCCESS  37
001010111   13   16   12   10   13   16   13   10  3.441312 0.903696 SUCCESS  38
001011011   12   17   14   14   10   10   17   15  5.958160 0.651919 SUCCESS  39
001011101    4    5    8   12   14    8   12   10 13.735098 0.088937 SUCCESS  40
001011111   14   13   10    9   16   10   11   15  4.027164 0.854664 SUCCESS  41
001100101    7   14   11   16   12   11    9    7  7.180174 0.517324 SUCCESS  42
001100111    6    7    9   11   11   10    9   10  8.312160 0.403587 SUCCESS  43
001101011    5   13   12   14   13   11   18   11  7.872605 0.446012 SUCCESS  44
001101101   15   19   13   18    6   11   11   10 11.406253 0.179725 SUCCESS  45
001101111   14    8   15   11   12   16   17   12  5.748974 0.675327 SUCCESS  46
001110101   14   10    9    7   14    5    7   13 10.829007 0.211577 SUCCESS  47
001110111   16   11    6    7   14   10   10    8  9.460695 0.304934 SUCCESS  48
001111011   16   16    9   10   15   14   12   10  5.083684 0.748596 SUCCESS  49
001111101    9    7   10   16   16    8    8   10  9.395821 0.310013 SUCCESS  50
001111111   13   12   12   13   10   14   10   12  1.211102 0.996531 SUCCESS  51
010000011   13    9   19   13   11   11   17   13  7.157005 0.519792 SUCCESS  52
010000111   10   15   13   12   12   14   12    9  2.280200 0.971194 SUCCESS  53
010001011   15   14   11   10    8   10   13   12  3.426749 0.904800 SUCCESS  54
010001111   16    3   12   13   17    8   10   17 14.260048 0.075234 SUCCESS  55
010010011   13    9    9   15   12   13   13    5  6.945833 0.542488 SUCCESS  56
010010111   10   10   14   10   13    8    8   16  5.759566 0.674144 SUCCESS  57
010011011   13   13   19   12   10   10   11   13  5.031388 0.754216 SUCCESS  58
010011111   11    9   11   15   13   10    7   11  4.638172 0.795456 SUCCESS  59
010100011   12   11   14   15   14   11   12   14  1.746644 0.987818 SUCCESS  60
010100111   19   10   11   10   12   11    6   16  9.462681 0.304779 SUCCESS  61
010101011    8   12   16   13   19   11   20   15 12.659381 0.124119 SUCCESS  62
010101111   11   15   17   11   15   10   11   15  4.732173 0.785781 SUCCESS  63
010110011   14   16   12   11   11   14   15   10  3.102379 0.927769 SUCCESS  64
010110111    9   17   11   16   11    9   18    9  8.876828 0.352793 SUCCESS  65
010111011    5    4    7   13   11   12   16   15 14.427529 0.071280 SUCCESS  66
010111111   10    7   15   16   13   13    9   14  5.839003 0.665260 SUCCESS  67
011000111   17   11   10   13   14   13   10   13  3.336720 0.911486 SUCCESS  68
011001111   14   11    9   16   13   15   11   10  3.740527 0.879742 SUCCESS  69
011010111    4   11   18   13   11   20   14   14 14.561249 0.068260 SUCCESS  70
011011111    8   10   12   13    7   17   17   17 10.115393 0.257020 SUCCESS  71
011101111   10   11    7   13   14   15   11   10  4.338957 0.825320 SUCCESS  72
011111111   10   11   17   12   15   17    9   16  7.209301 0.514228 SUCCESS  73
100000000   15   11   13    6    9   12   12   13  5.016824 0.755776 SUCCESS  74
100010000   17   13   11   11    7   20   14   12  9.985645 0.266035 SUCCESS  75
100100000   14   15   12   10   14    9   13   10  2.958067 0.936961 SUCCESS  76
100101000    7   13   10   15   13   11   11   13  3.765682 0.877621 SUCCESS  77
100110000   13   10   21   14   12   13    9   13  8.290976 0.405575 SUCCESS  78
100111000   14   10   13    7   15   15   13   13  4.470691 0.812358 SUCCESS  79
101000000    8   10   14   11    7   15   12   14  5.525225 0.700244 SUCCESS  80
101000100   19    9   11   12   12   11    5    5 13.801958 0.087076 SUCCESS  81
101001000   15   10   11   11    7   14    9    9  5.602676 0.691640 SUCCESS  82
101001100   11   10   13    8   13   11   11   12  2.370229 0.967508 SUCCESS  83
101010000    6   10   12   11   11   16   15   12  5.799284 0.669703 SUCCESS  84
101010100   13   11   10    6   18    4   10   13 12.837454 0.117566 SUCCESS  85
101011000   19   10   10   14   19   19   13    8 14.418923 0.071479 SUCCESS  86
101011100    9    9   15   13   13   17   13    9  5.382899 0.715976 SUCCESS  87
101100000   12   22   12    8    9   14   14    7 13.347840 0.100429 SUCCESS  88
101100100   16   20   11   11    9   11   14   15  8.565036 0.380305 SUCCESS  89
101101000   16   17   18   16   12    9   10   11  8.669629 0.370927 SUCCESS  90
101101100   10   13    8   19    9    9   13   14  7.937479 0.439601 SUCCESS  91
101110000   12   12   11   11   10   12   10   18  3.922572 0.864041 SUCCESS  92
101110100   10   10   10   12   12   12   13   14  1.562614 0.991619 SUCCESS  93
101111000    9   18   18   13   16   23    7   11 20.168218 0.009718 FAILURE  94
101111100   11   11    7   10    6   10   15   11  7.374796 0.496787 SUCCESS  95
110000000   19    8   10    8   14   15   18   14 11.393676 0.180375 SUCCESS  96
110000010   19   18   17   12   10    9   11   11 10.259704 0.247269 SUCCESS  97
110000100   10   12   15   11   19    8   10   14  7.299331 0.504708 SUCCESS  98
110001000   15   13   15    9    6   16   15   12  7.403923 0.493744 SUCCESS  99
110001010   13   14   14   15   12   10   15   10  2.763445 0.948314 SUCCESS 100
110010000   12   19   14    9   16    7   16   15 10.481467 0.232845 SUCCESS 101
110010010    8   11    7   20   12   16   11    9 11.274519 0.186624 SUCCESS 102
110010100    9   10   11   16   11    9   11   14  4.000023 0.857121 SUCCESS 103
110011000   14    7   12   14   10   14    8   14  5.290884 0.726082 SUCCESS 104
110011010    8   11   13   17   13    9   11    9  5.525225 0.700244 SUCCESS 105
110100000    8   12   16    9    7   16   10   15  8.171820 0.416869 SUCCESS 106
110100010   12   10   12   16    9   11    8    8  5.602676 0.691640 SUCCESS 107
110100100   19    9   14   14    8    9   14   11  8.094368 0.424307 SUCCESS 108
110101000   14    8   12   13   15   17   11   12  4.575284 0.801855 SUCCESS 109
110101010   13   12    9    7   18    4   11   12 11.872949 0.156963 SUCCESS 110
110101100   14   18   13   10    9   17   17    7 10.663512 0.221503 SUCCESS 111
110110000   14   17   15   14   15   11   12   11  4.094024 0.848542 SUCCESS 112
110110010   13   13    6   11    7   10   11   12  6.293121 0.614434 SUCCESS 113
110110100   16   19   20   15    9    5   11    9 17.220422 0.027894 SUCCESS 114
110111000   10   15    5    9    7   10   10   22 17.569947 0.024692 SUCCESS 115
110111010   12   12   10   10   16   16   10   11  3.805401 0.874240 SUCCESS 116
110111100   11   14   16   14   17   19   15   11  8.579600 0.378991 SUCCESS 117
111000000   17    6   12    9   10   16   20   14 13.153218 0.106685 SUCCESS 118
111000010    9   11    7   12   18   11    8   18 10.596652 0.225617 SUCCESS 119
111000100   12   10   13   15   11   12   12   16  2.489385 0.962224 SUCCESS 120
111000110   10   12   15   14    8   13    7   12  5.186291 0.737492 SUCCESS 121
111001000   12   11   15   13   19   12   15   16  6.675746 0.571987 SUCCESS 122
111001010   13    8   14   12   11   10   11   13  2.527118 0.960454 SUCCESS 123
111001100    8   10   10   12   13   11   12   15  3.152689 0.924413 SUCCESS 124
111010000    7   11   15   17   10   18   10   15  9.372651 0.311841 SUCCESS 125
111010010   18    7   13   14   17    9   11    6 11.665749 0.166752 SUCCESS 126
111010100   17    7    9   11   14   12   11   14  5.903877 0.657998 SUCCESS 127
111010110   15   16   12    9   17   17   12   10  7.092131 0.526726 SUCCESS 128
111011000    9   15    9   11   14    8    9   20 10.310015 0.243938 SUCCESS 129
111011010   13   12   15    4   12   13   13    8  8.014931 0.432013 SUCCESS 130
111011100    8   12    6   11   13    8   15   19 11.000460 0.201673 SUCCESS 131
111100000   13   15   14   13    5   15   13   11  6.282530 0.615617 SUCCESS 132
111100010   11   14   13   17   12   17   13   14  4.707018 0.788382 SUCCESS 133
111100100   14   10   15   15   13   11   11   13  2.372215 0.967424 SUCCESS 134
111100110   15   21   10    8   15    8   12   14 11.575720 0.171162 SUCCESS 135
111101000   14   11   11   17    9   14   13    9  4.535565 0.805864 SUCCESS 136
111101010   13    8   13   16   14   12   14   16  4.615003 0.797820 SUCCESS 137
111101100   14   13   11   10   22   12    9   16 11.107038 0.195708 SUCCESS 138
111101110    7   12   10   10   12   11   11   14  3.621371 0.889569 SUCCESS 139
111110000   14    7    5    9   10    9   12   15  9.747332 0.283210 SUCCESS 140
111110010   12    6   18   11    9   10   16   12  8.732517 0.365361 SUCCESS 141
111110100   10   16   11   14   11   11    9    8  4.625594 0.796740 SUCCESS 142
111110110   10   13   13    9   14   15   11   15  3.114956 0.926937 SUCCESS 143
111111000   12    8   10   15    8    8   10   16  7.180174 0.517324 SUCCESS 144
111111010   16   15   13   18   15   13   10   18  8.801363 0.359329 SUCCESS 145
111111100    9   10   13   13    8   10   10   18  6.542026 0.586750 SUCCESS 146
111111110   10   11   17   12   15   17    9   16  7.209301 0.514228 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   13   18   13   19    7   18   12   14 12.320447 0.137469 SUCCESS   0
000000011   19   12   11   10    5   20   11    9 14.990212 0.059336 SUCCESS   1
000000101   16   15   14   20    7   14   12   13  9.960489 0.267810 SUCCESS   2
000000111   14   14   15   10    6   10   14   10  5.968751 0.650732 SUCCESS   3
000001001   17   16   15   18   10   10   18   15 11.056728 0.198506 SUCCESS   4
000001011   16   14   21   10    6   13   15    8 13.948256 0.083124 SUCCESS   5
000001101   17   12   14   12   14   11   12   11  2.763445 0.948314 SUCCESS   6
000001111   19   12   16   13    8   10   13    7  9.450103 0.305759 SUCCESS   7
000010001    7   14   11   12   12   12   11   18  5.669536 0.684193 SUCCESS   8
000010011   14   15   13   16   16    5   21    8 15.904406 0.043769 SUCCESS   9
000010101    9    6    7   12    7   11   14    7 11.362563 0.181990 SUCCESS  10
000010111   17   12   12   11    8   14   11   13  4.027164 0.854664 SUCCESS  11
000011001   14   11    7   11   19   10   12   11  7.259612 0.508899 SUCCESS  12
000011011   12   16   10    5   13   10   12   19 10.414608 0.237123 SUCCESS  13
000011101   12   12   10   16   14    8   13   12  3.466468 0.901776 SUCCESS  14
000011111   20   10   12   12    5   10   20   10 15.942139 0.043216 SUCCESS  15
000100011    8   12    7   13   13   14    5   20 13.711929 0.089590 SUCCESS  16
000100101   17   14   14   17   10   13   12   13  4.993655 0.758254 SUCCESS  17
000100111   17   12   17   14   11    8   14    7  8.368428 0.398333 SUCCESS  18
000101001   14    9    6   12   12   16    8   11  7.232471 0.511771 SUCCESS  19
000101011    6    7   11   14    7   12   13    5 12.653423 0.124344 SUCCESS  20
000101101   10   13   21   13   10    8   16    8 11.705468 0.164837 SUCCESS  21
000101111   12   14   11    8   10   15    8   14  4.730187 0.785986 SUCCESS  22
000110011    8   11   11   10   16    8   10   13  5.316039 0.723325 SUCCESS  23
000110101    9    7   17   16   12    6   13   15 10.310015 0.243938 SUCCESS  24
000110111   13   13    6    7   13   11    7   17 10.061110 0.260763 SUCCESS  25
000111001   10    9   12   19    9   17    8    8 11.000460 0.201673 SUCCESS  26
000111011   12   17   13   14   13   13   14   18  5.541774 0.698407 SUCCESS  27
000111101   17    8   14   11   11   11    4   10 10.178281 0.252735 SUCCESS  28
000111111   14   16   13   13   11   13   17   11  3.872261 0.868461 SUCCESS  29
001000011   12   15    5   11   12   12    8   25 20.570040 0.008382 FAILURE  30
001000101   12   11   14   18   10    9   14   16  6.035611 0.643243 SUCCESS  31
001000111   11   15   10   13   10   11   11   13  1.953844 0.982394 SUCCESS  32
001001011    7   12   13   13   11   16    9   13  4.665313 0.792675 SUCCESS  33
001001101   15   20   10   15   22   10   11   10 15.996421 0.042431 SUCCESS  34
001001111   10   14   17   12   12    9    6   14  7.037849 0.532555 SUCCESS  35
001010011    7   14    9   11   14    9    7   12  6.970989 0.539766 SUCCESS  36
001010101    8    9    6   11   11   14   17    9  8.939717 0.347407 SUCCESS  37
001010111   12    8   12   13   10   14   13   10  2.696585 0.951933 SUCCESS  38
001011011   14   10   15   17   16    8   11    8  7.638264 0.469579 SUCCESS  39
001011101   10   12   10   11   16    9   10    7  5.719847 0.678580 SUCCESS  40
001011111   10   14   12    9   14   18    6    4 13.619914 0.092226 SUCCESS  41
001100101   13   15   12   18   15   13   16    6  8.786799 0.360599 SUCCESS  42
001100111   11   11    9    8   16    7   10   11  6.632055 0.576800 SUCCESS  43
001101011   10   11   12    8   10    8   12   16  5.146572 0.741802 SUCCESS  44
001101101    8   12   17   16   18   18   12   17 12.360166 0.135843 SUCCESS  45
001101111    7   15   13    8   17   13   11   13  6.686337 0.570821 SUCCESS  46
001110101   12   12    7    7   19   17   14    7 13.021484 0.111113 SUCCESS  47
001110111   12   13   16   19   13   10   14   17  7.914310 0.441885 SUCCESS  48
001111011   17    8   15   10   11    6   12    9  8.757672 0.363149 SUCCESS  49
001111101   11   14    8    9    6   17   12    9  8.822546 0.357486 SUCCESS  50
001111111   11   13   14   17   11   11   18    8  7.000116 0.536620 SUCCESS  51
010000011   12   15    9   14   14    8   14   11  3.974868 0.859384 SUCCESS  52
010000111   15   11    6   11   11   13   15   18  7.860027 0.447261 SUCCESS  53
010001011    8    8   17   19    9   10   13   10 10.596652 0.225617 SUCCESS  54
010001111    9   12   13   15   13    7   11   11  4.169490 0.841517 SUCCESS  55
010010011    9    9   13   14   11   13   13   12  2.292777 0.970695 SUCCESS  56
010010111   10   12   13   11   16   16    7   12  5.330603 0.721727 SUCCESS  57
010011011   14   18   13   13   24   16   15   12 16.962912 0.030498 SUCCESS  58
010011111   10   14    9   12    7   16   16    9  7.155019 0.520004 SUCCESS  59
010100011    8   12   20    7   15   15   11   14 10.676090 0.220736 SUCCESS  60
010100111    9   16    9   11    7   10   17    9  8.588205 0.378215 SUCCESS  61
010101011   11   11    7    6   10   13   17   10  8.600783 0.377084 SUCCESS  62
010101111   14    7   10   15   15   13   12    9  5.226010 0.733169 SUCCESS  63
010110011   14   14   22    8    8   15   18    9 16.073873 0.041335 SUCCESS  64
010110111   16   10   15   18   14   11    8   13  7.104709 0.525379 SUCCESS  65
010111011    8    9   11    8   13   15   10    8  6.579759 0.582575 SUCCESS  66
010111111    9   11   14    8   12   19    6    8 11.416845 0.179180 SUCCESS  67
011000111   10   13    9   14   12   15   12   12  2.280200 0.971194 SUCCESS  68
011001111   13   10   10   10   17   11   12    7  5.642395 0.687218 SUCCESS  69
011010111   12   13   10    9    9    9    8   16  5.772143 0.672738 SUCCESS  70
011011111   11   14   16    9   11   11   10   12  3.140112 0.925259 SUCCESS  71
011101111   15   11   11    7   11   11   17   13  5.447773 0.708819 SUCCESS  72
011111111   10    9   12   13   14   15    7   10  4.964528 0.761361 SUCCESS  73
100000000   13   18   13   19    7   18   12   14 12.320447 0.137469 SUCCESS  74
100010000    8   20   12   11   12    8   12   15  8.941702 0.347238 SUCCESS  75
100100000   13   12   10   17   11   13    7   13  4.939373 0.764036 SUCCESS  76
100101000   13   13   13   14   15   18   17   14  6.207064 0.624050 SUCCESS  77
100110000   11    9   15   14   11   15   16   13  4.002009 0.856942 SUCCESS  78
100111000   16    9   11   16   11   14   15    4 10.192844 0.251751 SUCCESS  79
101000000   17   13    9   14   10   15   12    9  5.096262 0.747240 SUCCESS  80
101000100   13   12   13   11   14    8    9   11  2.983222 0.935406 SUCCESS  81
101001000   15   10   12   18   15    7    7   16 10.402030 0.237934 SUCCESS  82
101001100    5   15   11   13    8   11   20   10 12.408491 0.133887 SUCCESS  83
101010000    9   10   13   18   10   15   14    8  7.025271 0.533909 SUCCESS  84
101010100   10   13   10   17   12   14   15    4  9.462681 0.304779 SUCCESS  85
101011000   13   15   14   12   16    7   17   12  6.479138 0.593723 SUCCESS  86
101011100   15   12    9    9   11    9   10   11  3.908008 0.865326 SUCCESS  87
101100000   10   10   13   13    9    6   12    9  5.901891 0.658221 SUCCESS  88
101100100   10   13   13    6   12   14   15   21 11.289083 0.185851 SUCCESS  89
101101000    7   15   11   10    7    9   10   13  7.088159 0.527152 SUCCESS  90
101101100   12    7   17    8   15   15   14    9  8.211539 0.413084 SUCCESS  91
101110000   16   10   11   14   15   10   15   14  4.054306 0.852191 SUCCESS  92
101110100   18   12   11   16   16   10   11   13  6.023034 0.644652 SUCCESS  93
101111000   15   14   17   12   14   13    9   12  4.106602 0.847380 SUCCESS  94
101111100   17   15    9   10   16   16   12    7  8.642488 0.373347 SUCCESS  95
110000000   13   19   15   15    9   17   11    9  9.125733 0.331801 SUCCESS  96
110000010   13   12   19    4    8   11   19   12 15.211975 0.055152 SUCCESS  97
110000100   11   10   12   14   14   15   19   14  5.958160 0.651919 SUCCESS  98
110001000    7   17    6   16   11   12   10   12  9.253495 0.321365 SUCCESS  99
110001010    8    6    7   14   10   14   11    8  9.590443 0.294955 SUCCESS 100
110010000    7   10    6   11   12   13   11   18  9.096606 0.334212 SUCCESS 101
110010010   11   15   13   11    8   14   21   14  9.581837 0.295610 SUCCESS 102
110010100   15   14   14   11   14   15   11   12  2.411934 0.965711 SUCCESS 103
110011000   12    6   16   16   14   12   17   15  8.617332 0.375598 SUCCESS 104
110011010   16   12   12   11    8   15   18   20 11.537987 0.173038 SUCCESS 105
110100000   18   16    9   13   11   11   12   12  5.253151 0.730208 SUCCESS 106
110100010   10   16   14   12   10   14   14   10  3.284423 0.915262 SUCCESS 107
110100100   11   10   12   19   16    7    9   12  8.837110 0.356223 SUCCESS 108
110101000    9    9   16   16   16    9   11   12  6.399700 0.602553 SUCCESS 109
110101010   13   15   11   12   11   13   15    5  6.073344 0.639016 SUCCESS 110
110101100   12   15   13    6   13    7   11    9  7.297345 0.504918 SUCCESS 111
110110000   10   12   11    8   13   10    9   12  3.347311 0.910711 SUCCESS 112
110110010   15   11   19    6   10   11   10   24 20.714351 0.007946 FAILURE 113
110110100    7   12    8    9   10   11    8   16  7.883197 0.444962 SUCCESS 114
110111000   13   13   11   19   16   16   10   13  7.079553 0.528074 SUCCESS 115
110111010   13    8   15   14   18   12    9   12  6.217656 0.622866 SUCCESS 116
110111100   11   16   13   11   12   11   13   12  1.706925 0.988717 SUCCESS 117
111000000   18   17   14    9   13   13   13    9  6.987538 0.537978 SUCCESS 118
111000010   19   15   16   14   16   10   18   12 10.600624 0.225371 SUCCESS 119
111000100   14   17    8   16   14   15   10    6  9.554696 0.297681 SUCCESS 120
111000110   11    9    9   10   13   14   12   12  2.591992 0.957303 SUCCESS 121
111001000   11   10   12   17    9   15    5   14  8.680220 0.369986 SUCCESS 122
111001010   10    6   11   11   14   17   11   16  7.481375 0.485694 SUCCESS 123
111001100   12   15   11   19   15   15   11   14  6.453982 0.596516 SUCCESS 124
111010000   16   12   10    9   11    9   10   14  4.169490 0.841517 SUCCESS 125
111010010   15    9   10   13   12   10   10   12  2.813755 0.945496 SUCCESS 126
111010100   10    9   13   10   10   17   14   13  4.430972 0.816299 SUCCESS 127
111010110    9   16    7   12   15   11    7   13  7.506530 0.483093 SUCCESS 128
111011000   11   16   10    8   16    5    8    8 11.833230 0.158801 SUCCESS 129
111011010    9   16    8    6    9    7    4   10 16.067915 0.041418 SUCCESS 130
111011100   13   14   16   16   18   16   11   14  7.276161 0.507151 SUCCESS 131
111100000   21   11   21    9    9   18   12    9 18.720468 0.016428 SUCCESS 132
111100010   10   15    7   13    9    9   15    7  8.092382 0.424498 SUCCESS 133
111100100   10    9   16   15    8   12   10   18  7.924901 0.440840 SUCCESS 134
111100110   14    9    5   12   11   12   11   18  8.627924 0.374649 SUCCESS 135
111101000    8   15   11   10   10   15    9   13  4.677891 0.791383 SUCCESS 136
111101010   16   14   11   10   14   10    8   15  4.874499 0.770902 SUCCESS 137
111101100   14    9    9    8   15    7    8   12  7.935493 0.439797 SUCCESS 138
111101110   14   15   11   11   16   11   15   11  3.324142 0.912401 SUCCESS 139
111110000   16   15   17   11   15   17   11    7  9.008562 0.341574 SUCCESS 140
111110010    5   11   13   16   14   16   13   12  7.351627 0.499213 SUCCESS 141
111110100    9   12    9   13    9   13   17    9  5.525225 0.700244 SUCCESS 142
111110110    9   12   16    6    9   10    8    6 11.349985 0.182646 SUCCESS 143
111111000   11   12   12    8   13   14   14   12  2.227903 0.973216 SUCCESS 144
111111010   14   13    9   16   12   14   10   12  3.114956 0.926937 SUCCESS 145
111111100    8    9   17   10   12   15   15   13  6.113063 0.634569 SUCCESS 146
111111110   10    9   12   13   14   15    7   10  4.964528 0.761361 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   13    8   13   11   12   11   15   11  2.631711 0.955306 SUCCESS   0
000000011   16    9   10   18   16   10   11   13  7.169583 0.518452 SUCCESS   1
000000101   10   12   14    9   11   16   12   18  5.761552 0.673922 SUCCESS   2
000000111   13   12   14   12   16   14   11   13  2.020704 0.980371 SUCCESS   3
000001001    6   12   10   13   20   12    9   13  9.801614 0.279227 SUCCESS   4
000001011   14   13    9   13   18   19   13   12  8.096354 0.424115 SUCCESS   5
000001101   11    6   12   17   14   10   20   15 11.849780 0.158033 SUCCESS   6
000001111   10   16   13   11   16   13   10   16  4.732173 0.785781 SUCCESS   7
000010001   17   14   13    9   13   15   13   12  3.937135 0.862750 SUCCESS   8
000010011    9   11   11   13   18   15    9    9  6.412278 0.601153 SUCCESS   9
000010101   17   19   15    7    6    7   10   13 14.833323 0.062469 SUCCESS  10
000010111   12   13   10   12   13   18    9   10  4.652735 0.793965 SUCCESS  11
000011001    7    8   12   17   13   11   12   17  7.872605 0.446012 SUCCESS  12
000011011   13   11    9   16   13   14   12   15  3.271845 0.916158 SUCCESS  13
000011101   14    8   15   18   11   13   16   10  7.104709 0.525379 SUCCESS  14
000011111   12   14    9    8   15   11    9   18  7.142441 0.521345 SUCCESS  15
000100011   15   10   10   12   15   12   20   10  7.730279 0.460251 SUCCESS  16
000100101   12   12   14   13   10   11    6    8  5.602676 0.691640 SUCCESS  17
000100111   12   10   13   18    9   16   13   12  5.474914 0.705818 SUCCESS  18
000101001   13    8   10   17   11   15    7   12  6.985552 0.538192 SUCCESS  19
000101011   12   16   15    7   12   10   13   20  9.816178 0.278166 SUCCESS  20
000101101   19   13   12   14   12   12   13   14  4.602425 0.799101 SUCCESS  21
000101111    9   15   10   11   16   18   14    6  9.671866 0.288816 SUCCESS  22
000110011    9    9   11   14   19    8   11   14  7.937479 0.439601 SUCCESS  23
000110101    9    6   13    9   14   10   18   10  8.979435 0.344034 SUCCESS  24
000110111   14   12    8   12   15   11    9   16  4.652735 0.793965 SUCCESS  25
000111001    8    5    6   11   15   13    8    7 13.735098 0.088937 SUCCESS  26
000111011   12   11    9   15   13    9   12   11  2.696585 0.951933 SUCCESS  27
000111101    5    9   10   11   17   15   12   15  9.071451 0.336304 SUCCESS  28
000111111   10   11    5    9   14   15   17   12  8.680220 0.369986 SUCCESS  29
001000011    7   15   10   15   11   13   17   20 11.328802 0.183756 SUCCESS  30
001000101   15   20   10   11    9   15   15   17 10.521186 0.230332 SUCCESS  31
001000111    7   11    5   12   13   12   18   12  9.709599 0.286003 SUCCESS  32
001001011   10   12   13   13    9   10   14   11  2.188185 0.974692 SUCCESS  33
001001101    8    9   18    9    7   20   11   13 13.699351 0.089946 SUCCESS  34
001001111   10   11   11   13    6   11   11   12  4.194645 0.839149 SUCCESS  35
001010011    9    6   10   13   14   16   11   15  6.868382 0.550898 SUCCESS  36
001010101   20   10   12   11   10    5    9   10 11.755779 0.162438 SUCCESS  37
001010111   12   10   10   10    6   15   15   18  8.667643 0.371104 SUCCESS  38
001011011   15    8   11   12   16   13    7   19  9.776459 0.281067 SUCCESS  39
001011101   10    8   13   13    9   15   13   12  3.596216 0.891595 SUCCESS  40
001011111   18   11   14    6   20   11    9    9 13.517307 0.095247 SUCCESS  41
001100101   13   10   15   16   16   11   10   12  4.119180 0.846214 SUCCESS  42
001100111    8   12   15    9   15   16   11   16  6.269952 0.617022 SUCCESS  43
001101011    8    8   13   10   11    6   13   15  7.531685 0.480498 SUCCESS  44
001101101   13   14   12   15    8   16   14    7  6.282530 0.615617 SUCCESS  45
001101111   11    8   11   13    9   11   10   16  4.403831 0.818976 SUCCESS  46
001110101   11   14   16   16   13   12    6   11  6.282530 0.615617 SUCCESS  47
001110111   13   16   10   15   19   11   17   12  8.370414 0.398148 SUCCESS  48
001111011   13   10    9    7   17   15   17   13  8.251258 0.409319 SUCCESS  49
001111101    9   12    9    8   16    8   11   11  6.175951 0.627530 SUCCESS  50
001111111    7   15   11    6   12   11   14    9  7.583982 0.475125 SUCCESS  51
010000011   12   15   10   15   12   19   16   14  7.184146 0.516901 SUCCESS  52
010000111    8   14   10   15   14   13   16   20  9.569259 0.296568 SUCCESS  53
010001011   16   17   13    9   10   16   14   12  6.023034 0.644652 SUCCESS  54
010001111    9   13    5   12    9   11   19   12 10.218000 0.250057 SUCCESS  55
010010011   13   17   11   11    9   13    6   16  7.650842 0.468298 SUCCESS  56
010010111    8   10   13   12    8   14    9   14  4.859935 0.772436 SUCCESS  57
010011011    7   10   22   10   10   19   14   15 16.529977 0.035393 SUCCESS  58
010011111   13   14   12   12    8    8   14   11  3.713386 0.882013 SUCCESS  59
010100011   12   19   12    7   10   12   10   12  7.037849 0.532555 SUCCESS  60
010100111   11    8   10   15   12   13   14   11  3.140112 0.925259 SUCCESS  61
010101011   19   13   15   12   11    5    9   10 10.427185 0.236313 SUCCESS  62
010101111   12   12    9    7   10   11   14   14  4.234364 0.835383 SUCCESS  63
010110011   16    8   18   15    9   11   12    7  9.514977 0.300730 SUCCESS  64
010110111   14   14   13   10   19   10    9   19 10.142534 0.255164 SUCCESS  65
010111011    7   13   13   14   10   13   17   15  5.761552 0.673922 SUCCESS  66
010111111   15   13   14    8   20   13   13    9  8.629910 0.374471 SUCCESS  67
011000111    8    6    9   20   11    8    7    7 16.942390 0.030715 SUCCESS  68
011001111    9   12   16    9   19   11   13   12  7.064990 0.529637 SUCCESS  69
011010111   14   13   14    7   10   12   18   12  6.165359 0.628715 SUCCESS  70
011011111   12    5   12   15    7    8    8   13 10.372903 0.239822 SUCCESS  71
011101111   16   14   12    9   16   10   19    9  8.799377 0.359502 SUCCESS  72
011111111   17   10    8    8   16   10   12    9  7.845464 0.448710 SUCCESS  73
100000000   13    8   13   11   12   11   15   11  2.631711 0.955306 SUCCESS  74
100010000   13   12   10   13    7   14    5   13  7.519108 0.481794 SUCCESS  75
100100000   12   13   13    9   10   14   16   11  3.010363 0.933705 SUCCESS  76
100101000   17   16   11   14   12   14   12   17  5.828411 0.666445 SUCCESS  77
100110000   12   14   10   19   16   14   13   11  6.297093 0.613991 SUCCESS  78
