		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   13   15    9   10    9   10   10   14  3.947727 0.861809 SUCCESS  76
100101000   10   16   16   10   13   10   18   13  6.648604 0.574976 SUCCESS  77
100110000   14   12   11    9    8   16   11   14  4.378676 0.821445 SUCCESS  78
100111000   10   11   13    6   16   14    6   13  8.640502 0.373524 SUCCESS  79
101000000   12   13   11    7   10   13   17   15  5.552366 0.697232 SUCCESS  80
101000100   12   18    9   10   15   14   13   13  5.188277 0.737276 SUCCESS  81
101001000   13   14   15    9   15   10   13   10  3.401594 0.906691 SUCCESS  82
101001100   12   11   12   13    8   11    9    7  4.937387 0.764247 SUCCESS  83
101010000   18   18   11    8    7   13   15   10 10.740964 0.216813 SUCCESS  84
101010100    6    5    8    8   11   16   11   10 12.483956 0.130882 SUCCESS  85
101011000   10   14   16   16   13   15   11    9  4.849343 0.773551 SUCCESS  86
101011100   15   15    9   13   11   11    9   11  3.479045 0.900810 SUCCESS  87
101100000   12   11   20   12   16   13    9   12  7.443642 0.489608 SUCCESS  88
101100100   13   20    7    9    9   15   13   17 11.914654 0.155053 SUCCESS  89
101101000   12   14   13   10   16    8   14   19  7.665405 0.466817 SUCCESS  90
101101100   10   14    8   15    8   15   14   10  5.682114 0.682790 SUCCESS  91
101110000   12   11   14   16   13   10   13   13  2.202748 0.974157 SUCCESS  92
101110100   13   20    9   12    8    8   17   14 11.301660 0.185185 SUCCESS  93
101111000   12   11   19   20    7   11    9   16 13.713915 0.089534 SUCCESS  94
101111100   16    7   15   12   13   11   12   12  4.366098 0.822675 SUCCESS  95
110000000    2    9   12   12   13   11   10    6 13.500757 0.095742 SUCCESS  96
110000010    9    8   11   11   13   12    7   16  6.163373 0.628937 SUCCESS  97
110000100   10    9   16   12   12   14   21   17 11.316224 0.184417 SUCCESS  98
110001000   11    5    7   11   12   17    7   18 14.011144 0.081475 SUCCESS  99
110001010    9    7   14    8   12   11   11   17  7.115300 0.524245 SUCCESS 100
110010000   15   17   15   10    8    9    9   16  8.146665 0.419276 SUCCESS 101
110010010   17   11   10    8    6   13   13   14  7.611123 0.472348 SUCCESS 102
110010100    9   12   20   14   15   11   21    9 14.536094 0.068819 SUCCESS 103
110011000   10   16   12   12   11   19   11   10  6.217656 0.622866 SUCCESS 104
110011010   15   10   19   14    6    9   15    9 10.923008 0.206100 SUCCESS 105
110100000   15   12   12    7   12    9   13   17  5.839003 0.665260 SUCCESS 106
110100010   10   15   12   10   14   22   12   12  9.920771 0.270631 SUCCESS 107
110100100   17   18   13   10   21   10   17    9 15.084213 0.057529 SUCCESS 108
110101000   23   16   10   16    8   15   13   11 15.096791 0.057291 SUCCESS 109
110101010    6   12   10    8   10   15   17    9  9.044309 0.338572 SUCCESS 110
110101100   12   10   13   19   10    8    9   13  7.207315 0.514439 SUCCESS 111
110110000   16   10   15   12   18    8   11   16  8.004339 0.433046 SUCCESS 112
110110010   15   16    5   10   15   15   11    9  9.006576 0.341741 SUCCESS 113
110110100   12   13   12   12   22    7   14   15 11.445972 0.177687 SUCCESS 114
110111000    9    9   11   15    9   11   16   10  5.133995 0.743163 SUCCESS 115
110111010    7   23   11   14   13    9    8   10 15.394020 0.051922 SUCCESS 116
110111100   14    9   18   16   13    7    7   13  9.906207 0.271671 SUCCESS 117
111000000    5    9   10   15   15   10   12   13  7.454234 0.488508 SUCCESS 118
111000010    8    9   21   11    8   15   11   14 11.600875 0.169920 SUCCESS 119
111000100    9   11    6   11   11   14   10   17  7.115300 0.524245 SUCCESS 120
111000110    9   14   18   12   12    9    7   11  7.272189 0.507570 SUCCESS 121
111001000   14   12   10   13   18   13   13   12  3.715372 0.881847 SUCCESS 122
111001010   15   16   10   12   13   13   16   10  4.054306 0.852191 SUCCESS 123
111001100   15   17   11   11    8   18   12   11  7.339049 0.500532 SUCCESS 124
111010000    7   13    7   14   13   10   12   11  5.485506 0.704645 SUCCESS 125
111010010   20   20    9   10   12   14   14   11 12.280729 0.139111 SUCCESS 126
111010100   16   13   13   15    9   15   13   10  4.002009 0.856942 SUCCESS 127
111010110   14   20   11   14   14    5    8   12 11.992105 0.151556 SUCCESS 128
111011000   19   12   10   12   16   10    9   17  8.799377 0.359502 SUCCESS 129
111011010    8   20   11   17   22    5   15   13 21.992634 0.004930 FAILURE 130
111011100    7    4    8    7   11   14   13   10 12.601127 0.126330 SUCCESS 131
111100000   10    8   15   18   13    9   12   14  6.621463 0.577969 SUCCESS 132
111100010    8   10   16    8   12   10   10   17  7.389360 0.495264 SUCCESS 133
111100100   17    9   16    7   16    8   12    9  9.918785 0.270773 SUCCESS 134
111100110   15   13   12   13    6   17   14   11  6.387122 0.603953 SUCCESS 135
111101000   10   10   10   13   12   19   12    9  6.073344 0.639016 SUCCESS 136
111101010   14   10   10   16    7   11   19   10  9.058873 0.337354 SUCCESS 137
111101100   17   11    5   14   11    9    7   14 10.282874 0.245731 SUCCESS 138
111101110   10   12    9   12    9    8   12   10  4.037756 0.853701 SUCCESS 139
